country_code,official_eng
USA,TRUE
GBR,TRUE
CAN,TRUE
IND,TRUE
CHN,FALSE
FRA,FALSE
DEU,FALSE
ISR,FALSE
ESP,FALSE
AUS,TRUE
NLD,FALSE
RUS,FALSE
SGP,TRUE
SWE,FALSE
BRA,FALSE
IRL,TRUE
JPN,FALSE
ITA,FALSE
KOR,FALSE
CHE,FALSE
CHL,FALSE
DNK,FALSE
FIN,FALSE
HKG,FALSE
BEL,FALSE
ARG,FALSE
TUR,FALSE
POL,FALSE
MEX,FALSE
NOR,FALSE
AUT,FALSE
PRT,FALSE
IDN,FALSE
BGR,FALSE
NZL,TRUE
ARE,FALSE
ZAF,TRUE
MYS,FALSE
EST,FALSE
CZE,FALSE
PHL,TRUE
UKR,FALSE
COL,FALSE
NGA,TRUE
TWN,FALSE
THA,FALSE
HUN,FALSE
PER,FALSE
LVA,FALSE
LTU,FALSE
GRC,FALSE
VNM,FALSE
KEN,TRUE
EGY,FALSE
ROM,FALSE
LUX,FALSE
PAK,TRUE
JOR,FALSE
SVK,FALSE
ISL,FALSE
LBN,FALSE
SVN,FALSE
CYP,FALSE
URY,FALSE
UGA,TRUE
GHA,TRUE
SRB,FALSE
VEN,FALSE
CYM,FALSE
BGD,FALSE
CRI,FALSE
KHM,FALSE
MLT,TRUE
PAN,FALSE
SAU,FALSE
TAN,FALSE
HRV,FALSE
BMU,FALSE
ECU,FALSE
MUS,TRUE
BLR,FALSE
BHR,FALSE
GTM,FALSE
TTO,TRUE
AZE,FALSE
BWA,TRUE
GEO,FALSE
MMR,FALSE
NPL,FALSE
ARM,FALSE
CMR,TRUE
DOM,FALSE
JAM,TRUE
LAO,FALSE
LIE,FALSE
LKA,FALSE
MCO,FALSE
MDA,FALSE
